,Country Name,Country codes,Mortality,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Cases_Per_Million,New_Cases_Per_Million,Total_Deaths_Per_Million,New_Deaths_Per_Million,New_Deaths_Smoothed_Per_Million,Total_Tests,New_Tests,Total_Tests_Per_Thousand,New_Tests_Per_Thousand,Tests_Per_Case,Positive_rate,Age(0-14),Age(14-64),Age(65+),Age(80 +),Basic water facility,Saf. managed water,Basic sanity,Safely Managed Sanity),"mortality(cancer,cvd)",Deaths by non-communicable dis % ,life exp(2018),Current Health Expenditure(%),Current Health Expenditure per capita(usa),Current Health Expenditure per capita(international),Physicians/1000 people,Nurses and midwives/1000 people,Diabetes Prevalence %,Mortality rates female/1000 female adults,Mortality rates male/1000 male adults,DGovtGHE (% of current health expenditure),DGGHE(% of GDP),DGGHE (% of general government expenditure),DGGHE per capita(current US $),"DGGHE per capita, PPP (current international $)",DPvtHE (% of current health expenditure),DPvtHE per capita (current US$),"DPvtHE per capita, PPP  (current international $)",OPE(% of current health expenditure),OPE per capita (current US$),"OPE per capita, PPP (current international $)",total % labor unemp,Hospital_Beds_Per_Thousand,Cardiovasc_Death_Rate,Diabetes_Prevalence,Female_smokers,Male_smokers,Human_Dev_index
95,Togo,TGO,0.022511432,2843.0,14.0,64.0,0.0,343.0,1.69,7.73,0.0,0.05,110962.0,772.0,13.402999999999999,0.111,48.681999999999995,0.021,40.9983537,56.11429871,2.8861431769999997,0.265740282,65.12884019,81.44728375,16.1321037,74.17553068,23.6,37.6,60.76,3.7460163239999997,247.0351105,103.73032380000001,0.0299,0.4201,2.4,244.396,277.736,17.66,1.09,5.05,6.72,18.32,68.63,26.11,71.19,58.42,22.23,60.6,2.486999989,0.7,280.033,6.15,0.9,26.7,0.503
96,Tunisia,TUN,0.03179989,88711.0,1240.0,2821.0,69.0,7506.0,104.92,238.69,5.84,5.75,225033.0,60416.1868,19.041,0.207,3.61,0.27699999999999997,24.22609727,67.18043418,8.586883468,1.718961041,96.25470364,92.65752454,90.92139742,78.11826368,16.1,85.8,76.505,4.216302931,444.65368650000005,863.2907715,1.3025,2.5136,8.5,67.321,106.66799999999999,57.12,4.13,13.63,143.13,493.13,42.45,106.36,366.45,39.12,98.02,337.72,13.81099987,2.3,318.991,8.52,1.1,38.8,0.735
97,Turkey,TUR,0.027657546,446822.0,6017.0,12358.0,139.0,5298.0,71.34,146.53,1.65,1.44,25.17,23.43802515,24.29082287,67.33968757,66.63538188,66.9828933,2.141107024,98.87571815,24.895,49.91122269,69.64400491,21.5,89.4,77.437,1180.641846,1.8492,62.33,119.23700000000001,77.71027088,3.276510537,9.689014405,345.54263310000005,917.4827881000001,22.28973007,99.1124115,263.16,4.029622642,11.7940566,1043.0388679999999,1357.187019,17.38,77.3,205.25,31.26849057,2.81,443.20048080000004,14.2,3.2853125,171.285,12.13,14.1,14.2,0.791
98,Uganda,UGA,0.009572573000000001,17968.0,301.0,172.0,4.0,393.0,6.58,3.76,0.09,0.08,527350.0,2384.0,11.529000000000002,0.044000000000000004,16.852,0.059000000000000004,46.50001534,51.53743447,1.9570567819999998,0.20076093399999997,49.10403239,7.065800299999999,18.47231816,74.17553068,21.9,32.9,62.973,6.99532032,177.4088898,121.1517868,0.168,1.4686,2.5,233.267,302.371,15.7,0.97,5.14,6.03,19.02,41.27,16.06,50.63,39.07,15.01,47.34,1.518000007,0.5,213.333,2.5,3.4,32.77777778,0.516
99,Ukraine,UKR,0.017649123,612665.0,0.0,10813.0,0.0,14009.0,0.0,247.25,0.0,3.95,2914006.0,33901.0,66.631,0.6579999999999999,5.082,0.19699999999999998,15.93971837,67.35529124,16.38680778,4.0799061430000005,93.79082011,92.00685673,96.22435599,68.45984576,24.7,91.0,71.58268293,5.719283764,459.9180423,584.5913696,2.450374213,8.973589257,6.1,113.9662371,175.51792930000002,44.02,3.08,7.42,78.1,257.36,54.3,96.33,317.41,52.32,92.81,305.84,9.880000114,8.8,539.849,7.11,13.5,65.8,0.751
100,United Arab Emirates,ARE,0.003471916,158990.0,1205.0,552.0,4.0,16075.0,121.84,55.81,0.4,0.32,12102874.0,114483.0,1223.6989999999998,11.151,84.905,0.012,14.71261177,84.13083877,1.191804655,0.132548327,98.04550656,81.44728375,98.58600874,96.28002493,16.8,76.8,77.814,9.124314785,1324.6035160000001,2468.549316,2.4356,5.6829,16.3,44.863,69.555,71.97,2.4,7.89,976.7,1776.71,28.03,380.32,691.84,18.87,256.03,465.75,1.6729999780000002,1.2,317.84,17.26,1.2,32.77777778,0.863
101,United Kingdom,GBR,0.036209901,1512045.0,18662.0,54751.0,125.0,22273.0,274.9,806.51,1.84,5.93,26395029.0,282556.0,388.814,4.034,15.022,0.067,17.69570052,63.79560384,18.49294958,5.051591077,100.0000015,99.98877925,99.11029548,97.75451456,10.9,88.8,81.25609756,7.601659,293.0535889,4338.372559,2.7863,8.2245,3.9,113.9662371,175.51792930000002,79.41,7.65,18.74,3064.25,3445.18,20.58,794.05,892.76,15.96,615.72,692.27,4.335000038,2.54,122.137,4.28,20.0,16.7,0.922
102,United States,USA,0.020967086,12246909.0,157471.0,256782.0,883.0,36999.0,475.74,775.77,2.67,4.56,138000000.0,739349.0,415.63,2.7680000000000002,15.623,0.064,18.54931712,65.24107673,16.19370335,3.9169772189999996,99.26919207,99.00177791,99.97001877,89.96699811,14.6,88.3,78.53902439,6.41438514,98.82457733,10246.13867,2.612,14.548,10.8,113.9662371,175.51792930000002,50.16,8.56,22.55,5139.27,5139.27,49.84,5106.87,5106.87,10.99,1126.35,1126.35,3.8840000630000002,2.77,151.089,10.79,19.1,47.4,0.924
103,Uruguay,URY,0.015109598,4699.0,135.0,71.0,2.0,1353.0,38.86,20.44,0.58,0.25,292525.0,2430.0,84.211,0.778,58.218,0.017,20.45807101,64.60068856,14.84715659,4.400318856,99.4023635,81.44728375,96.59619234,74.17553068,16.7,84.9,77.77,17.06126928,10246.13867,2101.911377,5.0794,1.9412,7.3,76.015,139.322,70.83,6.58,19.78,1127.36,1488.89,29.16,464.07,612.89,17.55,279.31,368.87,7.026000023,2.8,160.708,6.93,14.0,24.7,0.804
104,Vietnam,VNM,0.026799387,1306.0,0.0,35.0,0.0,13.0,0.0,0.36,0.0,0.0,1260799.0,3009.0,12.953,0.025,728.6089999999999,0.001,23.21382761,69.23249944,7.550998592999999,1.941045889,94.71880561,81.44728375,83.51504947,74.17553068,17.1,77.2,75.317,3.316853195,105.66652679999999,375.6432495,2.450374213,8.973589257,6.0,76.363,188.583,48.62,2.69,9.48,63.0,182.65,49.38,63.99,185.51,45.26,58.64,170.01,2.085000038,2.6,245.465,6.0,1.0,24.7,0.694
105,Zambia,ZMB,0.020488981,17424.0,30.0,357.0,1.0,948.0,1.63,19.42,0.05,0.03,218231.0,3482.0,11.870999999999999,0.174,56.603,0.018000000000000002,44.4625086,53.42217666,2.110997312,0.252336963,59.96375651,81.44728375,26.37011849,74.17553068,17.9,29.2,63.51,6.635916233,110.14962009999999,180.2706604,2.450374213,1.2988,4.5,221.57299999999998,321.143,38.63,1.73,6.86,26.13,69.64,18.79,12.71,33.87,11.85,8.02,21.36,10.88000011,2.0,234.49900000000002,3.94,3.1,32.77777778,0.588
106,Zimbabwe,ZWE,0.029067245,9220.0,48.0,268.0,3.0,620.0,3.23,18.03,0.2,0.11,133044.0,805.0,8.951,0.045,30.874000000000002,0.032,42.15812701,54.86126493,2.947506935,0.420735363,64.05122970000001,81.44728375,36.22139756,74.17553068,19.3,33.0,61.195,7.8288040379999995,1225.437532,201.0454559,0.1859,2.5972,1.8,337.702,373.207,51.62,3.43,15.23,56.85,103.77,33.66,37.08,67.67,20.62,22.72,41.46,4.440999985,1.7,307.846,1.82,1.6,45.9,0.535
